flow #71: size: 2, rem_Size: 0, arrived: 2212, src\dst:[6,7], FCT: 2037
flow #72: size: 90, rem_Size: 0, arrived: 2922, src\dst:[6,9], FCT: 845
flow #73: size: 7, rem_Size: 0, arrived: 57, src\dst:[6,10], FCT: 4019
flow #74: size: 19, rem_Size: 0, arrived: 782, src\dst:[6,11], FCT: 3201
flow #75: size: 38, rem_Size: 0, arrived: 57, src\dst:[6,12], FCT: 3887
flow #76: size: 12, rem_Size: 0, arrived: 1915, src\dst:[7,1], FCT: 2606
flow #77: size: 6, rem_Size: 0, arrived: 2912, src\dst:[7,2], FCT: 1440
flow #78: size: 11, rem_Size: 0, arrived: 2932, src\dst:[7,3], FCT: 1184
flow #79: size: 114, rem_Size: 0, arrived: 1199, src\dst:[7,4], FCT: 3287
flow #80: size: 16, rem_Size: 0, arrived: 2398, src\dst:[7,5], FCT: 1687
flow #81: size: 66, rem_Size: 0, arrived: 1169, src\dst:[7,8], FCT: 2689
flow #82: size: 5, rem_Size: 0, arrived: 2080, src\dst:[7,9], FCT: 2172
flow #83: size: 13, rem_Size: 0, arrived: 278, src\dst:[7,10], FCT: 3912
flow #84: size: 13, rem_Size: 0, arrived: 2538, src\dst:[7,13], FCT: 1619
flow #85: size: 97, rem_Size: 0, arrived: 2961, src\dst:[7,14], FCT: 1350
flow #86: size: 95, rem_Size: 0, arrived: 686, src\dst:[7,15], FCT: 3086
flow #87: size: 18, rem_Size: 0, arrived: 1295, src\dst:[8,0], FCT: 2828
flow #88: size: 23, rem_Size: 0, arrived: 167, src\dst:[8,1], FCT: 3874
flow #89: size: 11, rem_Size: 0, arrived: 504, src\dst:[8,2], FCT: 3651
flow #90: size: 15, rem_Size: 0, arrived: 912, src\dst:[8,5], FCT: 3280
flow #91: size: 23, rem_Size: 0, arrived: 474, src\dst:[8,6], FCT: 3455
flow #92: size: 19, rem_Size: 0, arrived: 2448, src\dst:[8,8], FCT: 1535
flow #93: size: 39, rem_Size: 0, arrived: 2095, src\dst:[8,9], FCT: 1736
flow #94: size: 44, rem_Size: 0, arrived: 2821, src\dst:[8,10], FCT: 900
flow #95: size: 8, rem_Size: 0, arrived: 1607, src\dst:[8,11], FCT: 2470
flow #96: size: 3, rem_Size: 0, arrived: 479, src\dst:[8,14], FCT: 3736
flow #97: size: 1, rem_Size: 0, arrived: 2267, src\dst:[8,15], FCT: 1981
flow #98: size: 52, rem_Size: 0, arrived: 1612, src\dst:[9,2], FCT: 2232
flow #99: size: 74, rem_Size: 0, arrived: 2811, src\dst:[9,3], FCT: 940
flow #100: size: 32, rem_Size: 0, arrived: 1597, src\dst:[9,4], FCT: 2341
flow #101: size: 12, rem_Size: 0, arrived: 1144, src\dst:[9,6], FCT: 3115
flow #102: size: 4, rem_Size: 0, arrived: 1955, src\dst:[9,7], FCT: 2332
flow #103: size: 9, rem_Size: 0, arrived: 1703, src\dst:[9,9], FCT: 2518
flow #104: size: 11, rem_Size: 0, arrived: 2327, src\dst:[9,10], FCT: 1828
flow #105: size: 10, rem_Size: 0, arrived: 52, src\dst:[9,11], FCT: 4063
flow #106: size: 60, rem_Size: 0, arrived: 1165, src\dst:[9,12], FCT: 2879
flow #107: size: 13, rem_Size: 0, arrived: 1115, src\dst:[9,13], FCT: 3075
flow #108: size: 16, rem_Size: 0, arrived: 2228, src\dst:[9,14], FCT: 1857
flow #109: size: 1, rem_Size: 0, arrived: 1402, src\dst:[9,15], FCT: 2980
flow #110: size: 7, rem_Size: 0, arrived: 173, src\dst:[10,0], FCT: 3978
flow #111: size: 3, rem_Size: 0, arrived: 2062, src\dst:[10,1], FCT: 2287
flow #112: size: 80, rem_Size: 0, arrived: 2485, src\dst:[10,2], FCT: 1813
flow #113: size: 10, rem_Size: 0, arrived: 209, src\dst:[10,3], FCT: 3870
flow #114: size: 16, rem_Size: 0, arrived: 1206, src\dst:[10,5], FCT: 3272
flow #115: size: 92, rem_Size: 0, arrived: 2606, src\dst:[10,6], FCT: 1163
flow #116: size: 75, rem_Size: 0, arrived: 330, src\dst:[10,7], FCT: 3537
flow #117: size: 31, rem_Size: 0, arrived: 2490, src\dst:[10,10], FCT: 1447
flow #118: size: 31, rem_Size: 0, arrived: 2440, src\dst:[10,11], FCT: 1823
flow #119: size: 19, rem_Size: 0, arrived: 1312, src\dst:[10,12], FCT: 2812
flow #120: size: 6, rem_Size: 0, arrived: 2712, src\dst:[10,13], FCT: 1506
flow #121: size: 13, rem_Size: 0, arrived: 305, src\dst:[11,0], FCT: 3777
flow #122: size: 105, rem_Size: 0, arrived: 2381, src\dst:[11,1], FCT: 1845
flow #123: size: 2, rem_Size: 0, arrived: 703, src\dst:[11,2], FCT: 3856
flow #124: size: 88, rem_Size: 0, arrived: 1615, src\dst:[11,4], FCT: 2265
flow #125: size: 2, rem_Size: 0, arrived: 2728, src\dst:[11,5], FCT: 1521
flow #126: size: 99, rem_Size: 0, arrived: 1615, src\dst:[11,6], FCT: 2922
flow #127: size: 14, rem_Size: 0, arrived: 387, src\dst:[11,8], FCT: 4008
flow #128: size: 3, rem_Size: 0, arrived: 523, src\dst:[11,10], FCT: 3826
flow #129: size: 58, rem_Size: 0, arrived: 1450, src\dst:[11,11], FCT: 2285
flow #130: size: 8, rem_Size: 0, arrived: 1137, src\dst:[11,12], FCT: 3154
flow #131: size: 4, rem_Size: 0, arrived: 1645, src\dst:[11,14], FCT: 2536
flow #132: size: 13, rem_Size: 0, arrived: 719, src\dst:[11,15], FCT: 3709
flow #133: size: 62, rem_Size: 0, arrived: 180, src\dst:[12,0], FCT: 3674
flow #134: size: 12, rem_Size: 0, arrived: 2154, src\dst:[12,1], FCT: 2273
flow #135: size: 130, rem_Size: 0, arrived: 2104, src\dst:[12,2], FCT: 2362
flow #136: size: 28, rem_Size: 0, arrived: 1650, src\dst:[12,4], FCT: 2506
flow #137: size: 21, rem_Size: 0, arrived: 825, src\dst:[12,6], FCT: 3562
flow #138: size: 4, rem_Size: 0, arrived: 2884, src\dst:[12,7], FCT: 1297
flow #139: size: 8, rem_Size: 0, arrived: 1671, src\dst:[12,9], FCT: 2442
flow #140: size: 30, rem_Size: 0, arrived: 2481, src\dst:[12,10], FCT: 1567
flow #141: size: 111, rem_Size: 0, arrived: 764, src\dst:[12,13], FCT: 3558
flow #142: size: 62, rem_Size: 0, arrived: 2722, src\dst:[13,1], FCT: 1132
flow #143: size: 10, rem_Size: 0, arrived: 1881, src\dst:[13,4], FCT: 2234
flow #144: size: 88, rem_Size: 0, arrived: 2979, src\dst:[13,8], FCT: 786
flow #145: size: 13, rem_Size: 0, arrived: 199, src\dst:[13,9], FCT: 4160
flow #146: size: 52, rem_Size: 0, arrived: 2646, src\dst:[13,11], FCT: 1574
flow #147: size: 11, rem_Size: 0, arrived: 2782, src\dst:[13,12], FCT: 1406
flow #148: size: 12, rem_Size: 0, arrived: 2531, src\dst:[13,13], FCT: 1728
flow #149: size: 125, rem_Size: 0, arrived: 2667, src\dst:[13,15], FCT: 1653
flow #150: size: 34, rem_Size: 0, arrived: 546, src\dst:[14,2], FCT: 3887
flow #151: size: 2, rem_Size: 0, arrived: 1442, src\dst:[14,3], FCT: 2941
flow #152: size: 12, rem_Size: 0, arrived: 2928, src\dst:[14,4], FCT: 1331
flow #153: size: 6, rem_Size: 0, arrived: 2746, src\dst:[14,7], FCT: 1404
flow #154: size: 99, rem_Size: 0, arrived: 2494, src\dst:[14,8], FCT: 1819
flow #155: size: 22, rem_Size: 0, arrived: 2343, src\dst:[14,9], FCT: 1643
flow #156: size: 48, rem_Size: 0, arrived: 828, src\dst:[14,12], FCT: 3012
flow #157: size: 44, rem_Size: 0, arrived: 2026, src\dst:[14,13], FCT: 1695
flow #158: size: 8, rem_Size: 0, arrived: 526, src\dst:[14,14], FCT: 3587
flow #159: size: 72, rem_Size: 0, arrived: 2313, src\dst:[14,15], FCT: 2176
flow #160: size: 8, rem_Size: 0, arrived: 2147, src\dst:[15,1], FCT: 1930
flow #161: size: 71, rem_Size: 0, arrived: 717, src\dst:[15,4], FCT: 3031
flow #162: size: 13, rem_Size: 0, arrived: 1830, src\dst:[15,5], FCT: 2395
flow #163: size: 26, rem_Size: 0, arrived: 2454, src\dst:[15,6], FCT: 1855
flow #164: size: 61, rem_Size: 0, arrived: 1528, src\dst:[15,7], FCT: 2459
flow #165: size: 28, rem_Size: 0, arrived: 788, src\dst:[15,8], FCT: 3567
flow #166: size: 72, rem_Size: 0, arrived: 738, src\dst:[15,9], FCT: 3656
flow #167: size: 14, rem_Size: 0, arrived: 1533, src\dst:[15,12], FCT: 2728
flow #168: size: 57, rem_Size: 0, arrived: 1281, src\dst:[15,13], FCT: 2568
flow #169: size: 15, rem_Size: 0, arrived: 5677, src\dst:[0,0], FCT: 1259
flow #170: size: 1, rem_Size: 0, arrived: 5022, src\dst:[0,1], FCT: 1935
flow #171: size: 37, rem_Size: 0, arrived: 5143, src\dst:[0,3], FCT: 1602
flow #172: size: 56, rem_Size: 0, arrived: 5178, src\dst:[0,5], FCT: 1892
flow #173: size: 16, rem_Size: 0, arrived: 3189, src\dst:[0,7], FCT: 3653
flow #174: size: 95, rem_Size: 0, arrived: 5551, src\dst:[0,8], FCT: 1025
flow #175: size: 6, rem_Size: 0, arrived: 4322, src\dst:[0,9], FCT: 112
flow #176: size: 63, rem_Size: 0, arrived: 3109, src\dst:[0,11], FCT: 3550
flow #177: size: 26, rem_Size: 0, arrived: 4695, src\dst:[0,14], FCT: 2203
flow #178: size: 7, rem_Size: 0, arrived: 5692, src\dst:[0,15], FCT: 1301
flow #179: size: 16, rem_Size: 0, arrived: 3214, src\dst:[1,1], FCT: 3666
flow #180: size: 102, rem_Size: 0, arrived: 3250, src\dst:[1,4], FCT: 3818
