flow #71: size: 80, rem_Size: 0, arrived: 1810, src\dst:[5,24], FCT: 3690
flow #72: size: 19, rem_Size: 0, arrived: 2280, src\dst:[5,28], FCT: 3199
flow #73: size: 22, rem_Size: 0, arrived: 1213, src\dst:[6,0], FCT: 4455
flow #74: size: 15, rem_Size: 0, arrived: 535, src\dst:[6,1], FCT: 5049
flow #75: size: 82, rem_Size: 0, arrived: 1391, src\dst:[6,6], FCT: 4235
flow #76: size: 47, rem_Size: 0, arrived: 1100, src\dst:[6,7], FCT: 3259
flow #77: size: 16, rem_Size: 0, arrived: 2058, src\dst:[6,10], FCT: 2674
flow #78: size: 4, rem_Size: 0, arrived: 372, src\dst:[6,13], FCT: 4682
flow #79: size: 16, rem_Size: 0, arrived: 368, src\dst:[6,14], FCT: 4172
flow #80: size: 87, rem_Size: 0, arrived: 651, src\dst:[6,15], FCT: 4567
flow #81: size: 12, rem_Size: 0, arrived: 1911, src\dst:[6,16], FCT: 3119
flow #82: size: 60, rem_Size: 0, arrived: 1519, src\dst:[6,20], FCT: 3677
flow #83: size: 18, rem_Size: 0, arrived: 2104, src\dst:[6,26], FCT: 3136
flow #84: size: 18, rem_Size: 0, arrived: 2976, src\dst:[6,28], FCT: 2286
flow #85: size: 13, rem_Size: 0, arrived: 1235, src\dst:[7,0], FCT: 4202
flow #86: size: 8, rem_Size: 0, arrived: 1619, src\dst:[7,5], FCT: 3113
flow #87: size: 1, rem_Size: 0, arrived: 653, src\dst:[7,6], FCT: 5015
flow #88: size: 11, rem_Size: 0, arrived: 1526, src\dst:[7,7], FCT: 2634
flow #89: size: 18, rem_Size: 0, arrived: 459, src\dst:[7,11], FCT: 3793
flow #90: size: 9, rem_Size: 0, arrived: 2782, src\dst:[7,16], FCT: 2739
flow #91: size: 19, rem_Size: 0, arrived: 839, src\dst:[7,21], FCT: 4766
flow #92: size: 42, rem_Size: 0, arrived: 2487, src\dst:[7,22], FCT: 2992
flow #93: size: 6, rem_Size: 0, arrived: 2095, src\dst:[7,25], FCT: 3277
flow #94: size: 12, rem_Size: 0, arrived: 1804, src\dst:[7,26], FCT: 3480
flow #95: size: 116, rem_Size: 0, arrived: 2963, src\dst:[7,28], FCT: 2163
flow #96: size: 12, rem_Size: 0, arrived: 346, src\dst:[7,30], FCT: 5154
flow #97: size: 14, rem_Size: 0, arrived: 1017, src\dst:[7,31], FCT: 4179
flow #98: size: 16, rem_Size: 0, arrived: 625, src\dst:[8,2], FCT: 4023
flow #99: size: 51, rem_Size: 0, arrived: 1784, src\dst:[8,3], FCT: 3884
flow #100: size: 16, rem_Size: 0, arrived: 431, src\dst:[8,4], FCT: 3734
flow #101: size: 7, rem_Size: 0, arrived: 1978, src\dst:[8,6], FCT: 3501
flow #102: size: 8, rem_Size: 0, arrived: 2074, src\dst:[8,7], FCT: 2630
flow #103: size: 9, rem_Size: 0, arrived: 721, src\dst:[8,8], FCT: 3848
flow #104: size: 27, rem_Size: 0, arrived: 2656, src\dst:[8,10], FCT: 1658
